"Petition","URL","State","Signatures Count"
"Ban loud fireworks being sold to the public","https://petition.parliament.uk/petitions/700496","rejected",8
"Make all fireworks silent","https://petition.parliament.uk/petitions/700497","rejected",12
"Hold Teenagers Accountable for Disruptive Public Behaviour","https://petition.parliament.uk/petitions/700503","rejected",11
"Make all fireworks silent from 2025 onwards","https://petition.parliament.uk/petitions/700510","rejected",21
"Introduce requirements for firework sellers to inform buyers about laws","https://petition.parliament.uk/petitions/700518","open",92
"Ban the sale of fireworks to the General Public","https://petition.parliament.uk/petitions/700519","rejected",21
"Stop breed-specific legislation and euthanising banned dogs.","https://petition.parliament.uk/petitions/700525","open",184
"Lower the English language test exemption age for BNO visa holders from 65 to 60","https://petition.parliament.uk/petitions/700528","open",1758
"Ban the sale of fireworks to the general public.","https://petition.parliament.uk/petitions/700531","rejected",9
"Protections for Migrant Workers in the Care Worker Visa Sponsorship System (COS)","https://petition.parliament.uk/petitions/700533","open",240
"Funding so the NHS can provide all services free, and pet care","https://petition.parliament.uk/petitions/700534","open",77
"Set dates when fireworks are allowed.","https://petition.parliament.uk/petitions/700537","open",338
"Government to scrap inheritance tax changes for British farmers","https://petition.parliament.uk/petitions/700539","rejected",21
"Ban holiday companies raising prices in school holidays.","https://petition.parliament.uk/petitions/700540","open",1749
"Exempt hospices from increase in employers’ national insurance","https://petition.parliament.uk/petitions/700550","open",628
"Geoffs Law
A law so all sibling's can see an elderly Parents","https://petition.parliament.uk/petitions/700552","rejected",7
"Ban non-stun slaughter in the UK","https://petition.parliament.uk/petitions/700557","open",106105
"Stop the tax on vapes","https://petition.parliament.uk/petitions/700558","rejected",21
"Stop the sale of fireworks to the general public","https://petition.parliament.uk/petitions/700559","rejected",14
"Remove the automatic right of bishops to sit in the House of Lords
","https://petition.parliament.uk/petitions/700563","open",1022
"Provide funding for at least 1 NHS ADHD specialist clinic in each county","https://petition.parliament.uk/petitions/700568","open",61
"Restrict the public sale of fireworks to silent firework types","https://petition.parliament.uk/petitions/700569","rejected",7
"Allow for all students in full-time education to receive free prescriptions.","https://petition.parliament.uk/petitions/700570","open",290
"Ban the sale of fireworks to the general public","https://petition.parliament.uk/petitions/700571","rejected",14
"Provide extra emergency funding into adult social care","https://petition.parliament.uk/petitions/700576","open",81
"Ban the sale of non-silent fireworks to the general public","https://petition.parliament.uk/petitions/700582","rejected",21
"Referendum on royal family and abolish the monarchy and make the UK a republic.","https://petition.parliament.uk/petitions/700583","rejected",7
"Petition to Revise Fireworks Purchase Regulations","https://petition.parliament.uk/petitions/700584","rejected",14
"Ban the sale of and use of fireworks","https://petition.parliament.uk/petitions/700597","rejected",12
"No More Free Rides: MPs Must Pay Their Fair Share!","https://petition.parliament.uk/petitions/700605","rejected",7
"Establish Insurance Watchdog - Limit Insurer Profit","https://petition.parliament.uk/petitions/700606","rejected",6
"Ban the sale of all fireworks over 50dB to the general public","https://petition.parliament.uk/petitions/700607","rejected",6
"Change the latest time that public can let fireworks off to 10pm/ prohibit sales","https://petition.parliament.uk/petitions/700609","rejected",21
"Standardise grocery package sizes and weights to counter ‘shrinkflation’.","https://petition.parliament.uk/petitions/700610","rejected",7
"Fines on companies for carbon emissions can fund renewable energy+sustainability","https://petition.parliament.uk/petitions/700612","rejected",21
"Hold a referendum to decide if the UK should leave the ECHR.","https://petition.parliament.uk/petitions/700614","open",16881
"Increase maritime enforcement to intercept and return boats to France.","https://petition.parliament.uk/petitions/700617","open",734
"Increase funding for border security and patrols in UK waters.","https://petition.parliament.uk/petitions/700619","open",204
"Implement regular checks on the legal status of all visa holders in the UK.","https://petition.parliament.uk/petitions/700620","open",160
"Update the dangerous dogs act to specifically protect horses","https://petition.parliament.uk/petitions/700623","open",20645
"Revocation of Citizenship for Dual Nationals Linked to Terrorism","https://petition.parliament.uk/petitions/700624","rejected",7
"Introduce Commonwealth Immigration Routes","https://petition.parliament.uk/petitions/700626","open",44
"Change legislation around sale and use of fireworks and other noise pollution","https://petition.parliament.uk/petitions/700627","rejected",14
"Ban loud fireworks for public sale","https://petition.parliament.uk/petitions/700636","rejected",11
"Ban noisy fireworks to prevent animal deaths.","https://petition.parliament.uk/petitions/700637","rejected",6
"Conduct a review of routes into work for new graduates.","https://petition.parliament.uk/petitions/700638","open",329
"Ban the sale of all non-silent fireworks to the public","https://petition.parliament.uk/petitions/700649","rejected",6
"Please ban public sales of fireworks.","https://petition.parliament.uk/petitions/700650","rejected",7
"Ban all forms of conversion therapy","https://petition.parliament.uk/petitions/700652","open",1212
"Stop third party sites selling DVSA practical exam bookings for profit","https://petition.parliament.uk/petitions/700656","open",134
"Inform disabled people of high success rate for PIP appeals at tribunal","https://petition.parliament.uk/petitions/700658","open",927
"Petitions for autism suitable accommodation and stop discrimination","https://petition.parliament.uk/petitions/700660","rejected",14
"Petition to restrict setting off fireworks in rural areas.","https://petition.parliament.uk/petitions/700667","rejected",21
"Reclassify Ketamine as a Class A drug","https://petition.parliament.uk/petitions/700671","open",2123
"Change foreign policy so the UK is neutral and not aligned with the West","https://petition.parliament.uk/petitions/700673","open",108
"End funding for military interventions overseas and spend taxes in the UK ","https://petition.parliament.uk/petitions/700674","open",98
"Ban gunpowder in fireworks","https://petition.parliament.uk/petitions/700676","rejected",14
"Develop an official written Constitution in the UK","https://petition.parliament.uk/petitions/700677","open",100
"Prevent job loss, personal data breaches from the UK due to IT outsourcing.","https://petition.parliament.uk/petitions/700678","rejected",10
"Urgently fulfil humanitarian obligations to Gaza","https://petition.parliament.uk/petitions/700682","open",5194
"We want the Government to stop the new car tax and consider fairer alternatives.","https://petition.parliament.uk/petitions/700684","rejected",7
"Introduce a referendum to decide: maintain or abolish the inheritance tax.","https://petition.parliament.uk/petitions/700686","open",546
"Lower the voting age to 16 for general elections","https://petition.parliament.uk/petitions/700687","open",545
"Create a running track in Gosport","https://petition.parliament.uk/petitions/700695","rejected",21
"Limit fireworks to organised displays & ban fireworks from sale to the public.","https://petition.parliament.uk/petitions/700696","rejected",9
"Require more qualifications for teachers/teaching assistants at SEN schools","https://petition.parliament.uk/petitions/700700","open",126
"Ban the sales of noisy fireworks to the public in the uk, silent only.","https://petition.parliament.uk/petitions/700706","rejected",9
"Equation Sheets for GCSEs permanently for 3 separate/triple science students.","https://petition.parliament.uk/petitions/700707","rejected",9
"End the Safety Valve programme and provide funding to cover SEND deficits","https://petition.parliament.uk/petitions/700708","open",1303
"Stop manufacturing and sales of noisy fireworks","https://petition.parliament.uk/petitions/700710","rejected",19
"Fund the development of allergen free, vegan-friendly medications","https://petition.parliament.uk/petitions/700712","open",401
"Fund month of celebrations of Britain's uniformed services","https://petition.parliament.uk/petitions/700714","open",411
"Review the employer NI changes announced in the Budget","https://petition.parliament.uk/petitions/700716","open",80
"Review of the Royal Duchies, Crown estate and sovereign grant","https://petition.parliament.uk/petitions/700719","open",278
"BAN FIREWORKS, SAVE ANIMALS! Only allow controlled firework displays!","https://petition.parliament.uk/petitions/700722","rejected",6
"compulsory politics education in high schools","https://petition.parliament.uk/petitions/700723","rejected",13
"Have a General Election every year as requested in 1839 by the Chartist Movement","https://petition.parliament.uk/petitions/700731","open",247
"Reinstate full HS2 route to Manchester & Leeds to combat regional inequality.","https://petition.parliament.uk/petitions/700734","open",196
"Replace PSHE with citizenship course focusing on political & social literacy","https://petition.parliament.uk/petitions/700735","rejected",14
"Hold a referendum for London to become an independent country/city state","https://petition.parliament.uk/petitions/700737","open",28
"Reintroduce UK National ID cards for British citizens.","https://petition.parliament.uk/petitions/700738","open",265
"Stop local councils from selling social housing to private investors","https://petition.parliament.uk/petitions/700742","open",487
"Make fireworks illegal","https://petition.parliament.uk/petitions/700752","rejected",9
"Reopen the petition to ban fireworks or change the law on their use.","https://petition.parliament.uk/petitions/700755","rejected",8
"Introduce stricter regulation of event ticket sales, resales and dynamic pricing","https://petition.parliament.uk/petitions/700756","open",147
"Raise the maximum assisted speed to 20mph for E-bikes","https://petition.parliament.uk/petitions/700758","open",73
"NO to Public Fireworks - End public sales and limit use to Licensed Events only!","https://petition.parliament.uk/petitions/700763","rejected",6
"Remove Universal Credit ‘Take-home Pay’ deductions for lone parent households","https://petition.parliament.uk/petitions/700764","open",134
"Introduce a compensation scheme for WASPI women","https://petition.parliament.uk/petitions/700765","open",161557
"Ban fire works sold to house holds ! Only silent fire works to business.","https://petition.parliament.uk/petitions/700766","rejected",7
"Fund routine breast screening invitations to women beyond the age of 71","https://petition.parliament.uk/petitions/700767","open",170
"Make St. David's Day on March the 1st a Public Holiday","https://petition.parliament.uk/petitions/700770","open",883
"Ban the sale of fireworks to the general public.","https://petition.parliament.uk/petitions/700771","rejected",7
"Ban the sale of fireworks to the general public","https://petition.parliament.uk/petitions/700775","rejected",7
"Create path to Settlement for Ukrainians in the UK","https://petition.parliament.uk/petitions/700776","open",35496
"Stop the Government from raising the tuition fee cap","https://petition.parliament.uk/petitions/700781","open",300
"Give BN(O) visa holders access to funded childcare hours for working parents","https://petition.parliament.uk/petitions/700785","open",24
"CPR, recovery position and important first aid to be taught throughout school","https://petition.parliament.uk/petitions/700788","rejected",12
"Increase maintenance loans for university students","https://petition.parliament.uk/petitions/700800","open",71
"Change rules so that small cats and dogs are allowed in airplane cabins","https://petition.parliament.uk/petitions/700802","open",548
"Ban the sale of fireworks to the wider public","https://petition.parliament.uk/petitions/700806","rejected",6
"Drivers who hit cats in their car should stop and take the cat to a vet","https://petition.parliament.uk/petitions/700808","open",1449
"Review the local planning process that follows rules not opinions","https://petition.parliament.uk/petitions/700809","rejected",13
"Move Tax Bands in line with minimum wage increases","https://petition.parliament.uk/petitions/700810","open",232
